Country,Rank_(SPI),Social_Progress_Index,Rank_(BHN),Basic_Human_Needs,Rank_(FW),Foundations_of_Well-Being,Rank_(O),Opportunity,adm0_a3
Guinea,130,39.6,129,40,124,51.2,127,27.59,GIN
Afghanistan,131,35.4,131,37.17,130,46.5,132,22.51,AFG
Chad,132,33.17,132,28.09,132,44.12,128,27.3,TCD
Central African Republic,133,31.42,133,26.81,131,44.84,131,22.62,CAF
North Korea,134,20,134,20,132,20,132,20,PRK
Taiwan,not ranked,no score,not ranked,no score,not ranked,no score,not ranked,no score,TWN
Burundi,not ranked,no score,not ranked,no score,not ranked,46.63,not ranked,32.2,BDI
Bahrain,not ranked,no score,not ranked,no score,not ranked,67.17,not ranked,46.94,BHR
Belize,not ranked,no score,not ranked,no score,not ranked,65.56,not ranked,no score,BLZ
Bhutan,not ranked,no score,not ranked,no score,not ranked,69.17,not ranked,no score,BTN
Cte d'Ivoire,not ranked,no score,not ranked,47.09,not ranked,no score,not ranked,31.58,CIV
Comoros,not ranked,no score,not ranked,no score,not ranked,55.01,not ranked,42.51,COM
Cape Verde,not ranked,no score,not ranked,no score,not ranked,70.5,not ranked,no score,CPV
Gabon,not ranked,no score,not ranked,61.91,not ranked,no score,not ranked,48.07,GAB
The Gambia,not ranked,no score,not ranked,57.9,not ranked,55.36,not ranked,no score,GMB
Guinea-Bissau,not ranked,no score,not ranked,no score,not ranked,no score,not ranked,no score,GNB
Haiti,not ranked,no score,not ranked,36.02,not ranked,no score,not ranked,36.89,HTI
Libya,not ranked,no score,not ranked,no score,not ranked,56.43,not ranked,no score,LBY
Luxembourg,not ranked,no score,not ranked,no score,not ranked,82.42,not ranked,81.95,LUX
Malta,not ranked,no score,not ranked,no score,not ranked,73.61,not ranked,70.38,MLT
Oman,not ranked,no score,not ranked,no score,not ranked,70.47,not ranked,no score,OMN
Papua New Guinea,not ranked,no score,not ranked,no score,not ranked,55.39,not ranked,no score,PNG
Qatar,not ranked,no score,not ranked,no score,not ranked,70.6,not ranked,52.15,QAT
Sudan,not ranked,no score,not ranked,no score,not ranked,no score,not ranked,25.14,SDN
Singapore,not ranked,no score,not ranked,no score,not ranked,no score,not ranked,62.83,SGP
Sierra Leone,not ranked,no score,not ranked,34.43,not ranked,no score,not ranked,36.16,SLE
Suriname,not ranked,no score,not ranked,no score,not ranked,75.4,not ranked,58.02,SUR
Syria,not ranked,no score,not ranked,no score,not ranked,56.14,not ranked,24.25,SYR
Turkmenistan,not ranked,no score,not ranked,75.82,not ranked,no score,not ranked,no score,TKM
Timor-Leste,not ranked,no score,not ranked,50.55,not ranked,59.34,not ranked,no score,TLS
Trinidad and Tobago,not ranked,no score,not ranked,75.18,not ranked,no score,not ranked,63.83,TTO
Vietnam,not ranked,no score,not ranked,74.19,not ranked,no score,not ranked,36.28,VNM
Democratic Republic of Congo,not ranked,no score,not ranked,no score,not ranked,47.69,not ranked,26.26,COD
Zimbabwe,not ranked,no score,not ranked,45.16,not ranked,no score,not ranked,33.4,ZWE
